,city name,temp,wind speed,country,cloudiness,humidity,longitude,latitiude,date
85,Upernavik,-30.44,15.59,GL,94,96,-56.15,72.79,1578283581
86,Fairbanks,-15.0,2.15,US,90,67,-147.72,64.84,1578283765
87,Port Elizabeth,37.99,4.94,US,75,59,-74.98,39.31,1578284257
88,Nalut,49.51,10.54,LY,55,83,10.98,31.86,1578284257
89,Leh,3.78,3.69,IN,100,79,77.58,34.16,1578284257
90,Cayenne,75.2,3.49,GF,75,94,-52.33,4.94,1578283994
91,Saskylakh,-16.62,16.02,RU,100,92,114.09,71.97,1578283885
92,Ilulissat,8.6,12.75,GL,100,71,-51.1,69.22,1578283695
93,Santa Rosa,69.13,12.15,AR,100,20,-64.29,-36.62,1578284199
94,Francistown,71.6,1.12,BW,13,64,27.5,-21.17,1578284258
95,Great Falls,35.01,23.04,US,1,53,-111.29,47.5,1578284259
96,San Patricio,78.6,8.46,PY,0,53,-56.83,-26.98,1578284259
97,Coquimbo,60.8,3.36,CL,0,82,-71.34,-29.95,1578283699
98,Punta Arenas,44.6,3.36,CL,75,70,-70.91,-53.16,1578284125
99,San Ramon,67.17,6.96,NI,0,81,-85.84,12.92,1578284259
100,Tsumeb,64.67,3.76,NA,100,92,17.72,-19.25,1578284260
101,Tellin,41.0,6.93,BE,75,75,5.22,50.08,1578284260
102,Hobart,77.0,18.34,AU,20,49,147.33,-42.88,1578284148
103,Paciran,87.53,11.21,ID,74,66,112.33,-6.9,1578284260
104,Sao Joao Evangelista,65.26,3.56,BR,90,98,-42.76,-18.55,1578284261
105,Kaitangata,52.0,24.0,NZ,100,72,169.85,-46.28,1578283727
106,Castro,50.0,4.7,CL,48,87,-73.76,-42.48,1578283916
107,Chokurdakh,-20.38,1.92,RU,16,100,147.9,70.62,1578284262
108,Samarinda,80.28,4.43,ID,100,80,117.14,-0.5,1578284262
109,Miramar,72.0,10.29,CR,40,78,-84.73,10.09,1578284263
110,Yatou,78.8,3.36,CM,40,94,9.81,3.63,1578283815
111,Bathsheba,73.4,12.75,BB,75,94,-59.52,13.22,1578283698
112,Torbay,32.0,32.21,CA,90,100,-52.73,47.66,1578283700
113,Arlit,54.77,9.26,NE,27,29,7.39,18.74,1578284264
114,Mandan,30.0,5.82,US,1,68,-100.89,46.83,1578284264
115,Severo-Kurilsk,26.65,8.43,RU,99,91,156.12,50.68,1578283694
116,Kastamonu,27.88,1.03,TR,100,89,33.78,41.38,1578284264
117,Sao Filipe,70.3,19.91,CV,98,67,-24.5,14.9,1578284264
118,San Francisco de Ojuera,56.62,5.06,HN,99,96,-88.19,14.75,1578284265
119,Adolfo Lopez Mateos,60.01,1.99,MX,98,89,-109.39,26.8,1578284265
120,Port Moresby,91.4,11.41,PG,40,59,147.16,-9.47,1578284265
